tribunal,grau,numero,classe,orgao,ano_ajuizamento,duracao_dias,qtd_movimentos,desfecho
TRF3,JE,00026780920094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,978.0,19,favorável
TRF3,JE,00026799120094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,785.0,15,sem sentença identificada
TRF3,JE,00027425320084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,853.0,30,sem sentença identificada
TRF3,JE,00026305020094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,487.0,8,sem sentença identificada
TRF3,JE,00026409420094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,966.0,3,sem sentença identificada
TRF3,JE,00027733920094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,862.0,19,sem sentença identificada
TRF3,JE,00027899020094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,1031.0,43,favorável
TRF3,JE,00027968220094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,979.0,39,desfavorável
TRF3,JE,00027993720094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,657.0,16,desfavorável
TRF3,JE,00028045920094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,170.0,24,desfavorável
TRF3,JE,00028420820084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2008.0,719.0,12,desfavorável
TRF3,JE,00027266520094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,1076.0,25,favorável
TRF3,JE,00027546720084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,236.0,25,desfavorável
TRF3,JE,00027587020094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,202.0,11,desfavorável
TRF3,JE,00028432220104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,720.0,13,desfavorável
TRF3,JE,00028521820094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,187.0,23,desfavorável
TRF3,JE,00028548520094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,730.0,19,desfavorável
TRF3,TRU,00006586320184036308,Recurso Inominado Cível,GAB. 02 DE JUIZ FED. DA 1º TURMA RECURSAL DO JEF DE SÃO PAULO,2019.0,413.0,58,desfavorável
TRF3,JE,00028787920104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,781.0,20,desfavorável
TRF3,JE,00028796420104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,411.0,16,desfavorável
TRF3,JE,00028951820104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,789.0,19,desfavorável
TRF3,TRU,00017844620074036305,Recurso Inominado Cível,GAB. 07 DE JUIZ FED. DA 3º TURMA RECURSAL DO JEF DE SÃO PAULO,2010.0,3836.0,106,desfavorável
TRF3,JE,00029989320084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2008.0,823.0,30,favorável
TRF3,TRU,00003719520184036342,Recurso Inominado Cível,GAB. 35 DE JUIZ FED. DA 12º TURMA RECURSAL DO JEF DE SÃO PAULO,2018.0,856.0,80,favorável
TRF3,JE,00030338220104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,405.0,32,desfavorável
TRF3,JE,00030981420094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,451.0,8,desfavorável
